pref_lookingfor,count
|48|53|56|57|81|70|71|73|74|76|80|,2
|56|70|50|80|,2
|55|56|,2
|48|56|61|80|,2
|48|69|,2
|63|81|68|80|,2
|48|53|49|47|56|57|67|69|71|77|50|80|,2
|56|81|68|70|74|80|,2
|59|67|63|60|77|,2
|63|67|74|80|,2
|48|56|68|74|80|,2
|63|67|76|,2
|56|81|68|80|,2
|48|53|56|70|71|73|74|76|77|50|80|,2
|56|80|57|,2
|61|,2
|50|69|48|,1
|56|63|67|81|68|69|70|80|,1
|48|47|55|56|58|63|64|71|72|74|75|50|78|80|,1
|70|68|74|79|,1
|48|47|55|58|60|61|62|64|74|77|50|78|80|,1
|69|80|49|,1
|48|47|57|58|60|73|50|80|,1
|47|67|69|70|75|53|,1
|48|55|56|81|75|50|78|80|,1
|56|57|63|66|76|80|,1
|56|67|70|74|77|,1
|48|77|80|50|74|,1
|48|57|80|47|74|,1
|63|66|69|70|74|75|76|,1
|48|47|56|81|75|77|80|63|74|,1
|56|75|55|50|80|,1
|48|58|,1
|48|55|56|57|58|71|75|77|80|,1
|56|57|63|80|,1
|48|70|68|81|75|78|56|80|55|53|,1
|48|53|47|56|57|58|59|67|68|71|77|78|80|,1
|9|10|28|29|33|34|,1
|47|55|67|70|76|80|,1
|48|53|62|63|67|81|73|74|75|76|50|80|,1
|48|56|61|67|72|73|50|80|,1
|53|47|59|48|58|76|,1
|48|56|47|55|67|,1
|69|71|80|,1
|53|47|73|74|78|80|,1
|53|47|55|56|69|75|77|50|78|,1
|9|10|12|28|38|47|48|50|51|,1
|48|53|56|55|57|58|59|61|67|66|81|69|70|72|73|74|76|77|50|,1
|48|56|67|81|68|74|50|,1
|48|60|63|64|66|67|81|68|69|74|76|50|80|,1
|48|53|49|47|55|56|57|58|59|60|68|70|74|77|50|78|,1
|9|20|27|28|29|42|,1
|63|67|74|66|,1
|48|47|56|58|77|78|59|68|70|72|74|80|,1
|48|55|56|57|58|63|67|81|68|74|75|76|,1
|48|47|56|57|81|68|70|72|74|76|77|50|78|,1
|47|56|58|62|81|80|67|76|50|72|53|48|78|69|,1
|56|60|67|70|74|80|,1
|48|55|81|70|74|,1
|48|53|78|,1
|79|55|60|,1
|48|56|58|59|60|74|77|80|,1
|49|47|55|56|61|63|66|81|74|76|50|78|80|,1
|50|67|53|77|80|74|72|,1
|49|47|57|64|65|74|,1
|56|67|81|68|70|73|74|77|50|80|,1
|56|60|,1
|48|47|55|56|57|60|61|63|65|70|77|50|80|,1
|48|53|49|56|57|58|65|72|77|50|80|,1
|61|53|70|81|74|48|50|77|68|65|80|,1
|56|61|81|68|,1
|48|61|75|76|79|,1
|48|56|80|49|68|70|74|76|,1
|47|56|60|63|64|65|68|69|70|76|77|50|78|,1
|48|47|75|50|,1
|48|60|81|80|55|68|56|57|74|76|,1
|48|63|67|68|70|74|76|,1
|78|56|,1
|80|77|72|68|67|57|,1
|48|49|57|61|70|72|50|80|78|77|75|73|56|47|53|,1
|48|57|50|80|71|64|56|47|58|74|81|67|62|,1
|53|55|56|57|60|63|66|67|81|68|69|70|74|76|80|,1
|48|56|57|63|67|81|70|,1
|48|47|55|56|61|50|78|,1
|48|56|58|64|73|77|74|49|55|,1
|48|47|57|58|60|62|75|78|80|,1
|14|21|25|26|27|29|33|38|42|43|44|,1
|48|47|55|56|57|58|59|60|67|68|72|75|78|,1
|48|47|56|58|67|70|75|80|,1
|48|47|55|56|57|63|69|70|74|75|76|,1
|53|47|74|77|70|,1
|10|29|33|38|,1
|47|63|67|69|70|80|,1
|67|75|80|,1
|48|56|57|67|74|76|80|,1
|47|55|56|78|,1
|55|57|68|70|72|74|76|50|53|47|56|58|62|75|77|78|80|66|81|,1
|48|56|81|68|70|73|75|78|80|,1
|48|49|63|78|,1
|48|55|56|68|70|75|80|,1
|18|36|,1
|56|63|68|70|,1
|48|47|56|77|78|80|53|49|57|67|68|70|72|74|50|76|,1
|48|53|47|55|57|58|,1
|7|10|29|,1
|56|68|79|,1
|48|68|70|53|56|66|80|,1
|48|49|58|62|63|67|81|68|69|70|74|76|,1
|48|63|67|70|74|76|,1
|54|56|77|80|57|67|,1
|48|53|47|55|56|81|68|70|73|77|50|80|,1
|53|47|74|,1
|77|80|71|,1
|48|53|47|66|67|69|75|76|77|78|80|,1
|48|56|58|81|68|,1
