TRIM(pref_opento),
|1|15|16|,
|16|23|,
||,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
|2|,
,
|1|2|7|13|15|16|18|20|24|,
,
,
,
,
,
,
|7|8|15|16|17|18|23|,
,
|18|,
,
,
|18|23|,
,
,
,
,
,
,
,
|2|4|7|15|16|18|23|,
|6|7|16|,
,
|1|15|16|18|19|21|23|24|,
,
,
|1|2|3|4|5|7|8|12|13|15|16|17|19|20|23|24|,
,
,
,
,
|15|16|18|21|23|,
,
,
,
,
,
|2|,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
|1|2|5|7|9|12|15|16|18|23|,
,
,
|2|4|6|15|16|18|,
,
,
,
,
,
,
,
|4|10|11|15|17|18|24|,
|40|46|38|28|42|43|,
,
,
,
,
,
,
,
,
,
,
,
,
|1|2|3|4|5|6|12|13|15|16|17|18|19|21|23|24|,
,
,
,
,
,
,
,
,
,
,
,
|2|16|,
|7|40|27|23|46|33|37|36|28|42|43|51|44|32|39|29|49|18|,
,
|18|23|42|45|39|49|7|40|,
|2|3|15|16|18|19|23|,
,
,
,
|2|15|,
,
,
|2|,
,
,
,
,
|2|16|18|23|,
,
,
,
|7|40|1|33|37|38|48|36|28|42|43|50|51|44|39|49|,
,
,
,
|1|8|11|12|13|15|18|23|,
,
|1|2|15|16|18|,
||,
|2|,
|2|13|15|16|,
,
,
|15|16|18|,
,
,
,
,
,
,
|1|2|15|16|,
,
,
|2|,
,
,
,
,
,
,
,
,
,
,
,
|1|2|3|4|5|6|10|12|13|15|16|17|18|19|23|24|25|,
||,
,
,
,
,
,
,
,
,
,
,
,
,
,
|1|2|4|5|8|11|12|16|18|19|23|,
,
||,
||,
,
,
,
,
,
,
|7|15|37|38|48|36|28|42|43|41|39|29|18|,
,
,
|2|,
|2|,
,
,
,
,
,
,
,
,
,
,
,
|2|,
,
,
,
,
,
,
|1|5|12|13|15|16|17|18|20|23|,
,
,
|7|40|46|37|38|48|36|28|42|44|39|,
,
,
,
,
,
,
,
,
,
|7|40|6|17|15|33|37|38|48|36|28|42|43|51|39|29|49|18|,
|1|12|13|16|18|20|23|,
,
|1|2|12|16|,
|1|2|7|12|13|15|16|18|23|,
,
,
,
,
,
,
,
,
|1|2|12|13|15|16|17|18|23|24|,
,
,
|2|6|11|15|16|18|23|,
,
|7|40|30|31|19|27|17|34|23|1|15|46|33|26|37|38|48|36|28|42|43|50|51|44|41|45|39|29|49|18|,
,
,
,
|2|,
,
,
,
,
,
|7|1|15|33|42|43|50|51|39|29|,
,
,
,
,
,
,
,
|13|15|16|17|20|21|23|,
,
,
,
,
,
|4|11|16|17|18|23|,
,
,
,
,
,
,
